Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths,Datasource,Datasource_link
北海道,Japan,1/31/2020 12:00,1,0,0,0,,
青森県,Japan,1/31/2020 12:01,0,0,0,0,,
岩手県,Japan,1/31/2020 12:02,0,0,0,0,,
宮城県,Japan,1/31/2020 12:03,0,0,0,0,,
秋田県,Japan,1/31/2020 12:04,0,0,0,0,,
山形県,Japan,1/31/2020 12:05,0,0,0,0,,
福島県,Japan,1/31/2020 12:06,0,0,0,0,,
茨城県,Japan,1/31/2020 12:07,0,0,0,0,,
栃木県,Japan,1/31/2020 12:08,0,0,0,0,,
群馬県,Japan,1/31/2020 12:09,0,0,0,0,,
埼玉県,Japan,1/31/2020 12:10,0,0,0,0,,
千葉県,Japan,1/31/2020 12:11,1,0,0,0,厚生労働省,https://www.mhlw.go.jp/stf/newpage_09271.html
東京都,Japan,1/31/2020 12:12,4,0,0,0,,
神奈川県,Japan,1/31/2020 12:13,1,0,1,0,,
新潟県,Japan,1/31/2020 12:14,0,0,0,0,,
富山県,Japan,1/31/2020 12:15,0,0,0,0,,
石川県,Japan,1/31/2020 12:16,0,0,0,0,,
福井県,Japan,1/31/2020 12:17,0,0,0,0,,
山梨県,Japan,1/31/2020 12:18,0,0,0,0,,
長野県,Japan,1/31/2020 12:19,0,0,0,0,,
岐阜県,Japan,1/31/2020 12:20,0,0,0,0,,
静岡県,Japan,1/31/2020 12:21,0,0,0,0,,
愛知県,Japan,1/31/2020 12:22,2,0,0,0,,
三重県,Japan,1/31/2020 12:23,1,0,0,0,,
滋賀県,Japan,1/31/2020 12:24,0,0,0,0,,
京都府,Japan,1/31/2020 12:25,1,0,0,0,,
大阪府,Japan,1/31/2020 12:26,1,0,0,0,,
兵庫県,Japan,1/31/2020 12:27,0,0,0,0,,
奈良県,Japan,1/31/2020 12:28,1,0,0,0,,
和歌山県,Japan,1/31/2020 12:29,0,0,0,0,,
鳥取県,Japan,1/31/2020 12:30,0,0,0,0,,
島根県,Japan,1/31/2020 12:31,0,0,0,0,,
岡山県,Japan,1/31/2020 12:32,0,0,0,0,,
広島県,Japan,1/31/2020 12:33,0,0,0,0,,
山口県,Japan,1/31/2020 12:34,0,0,0,0,,
徳島県,Japan,1/31/2020 12:35,0,0,0,0,,
香川県,Japan,1/31/2020 12:36,0,0,0,0,,
愛媛県,Japan,1/31/2020 12:37,0,0,0,0,,
高知県,Japan,1/31/2020 12:38,0,0,0,0,,
福岡県,Japan,1/31/2020 12:39,0,0,0,0,,
佐賀県,Japan,1/31/2020 12:40,0,0,0,0,,
長崎県,Japan,1/31/2020 12:41,0,0,0,0,,
熊本県,Japan,1/31/2020 12:42,0,0,0,0,,
大分県,Japan,1/31/2020 12:43,0,0,0,0,,
宮崎県,Japan,1/31/2020 12:44,0,0,0,0,,
鹿児島県,Japan,1/31/2020 12:45,0,0,0,0,,
沖縄県,Japan,1/31/2020 12:46,0,0,0,0,,
